geoid,over_65,total
51047930202,1211,2449
06037701402,1210,3976
34029722001,1210,2142
36093032404,1210,2722
48221160206,1210,2277
06005000402,1209,2043
12017450800,1209,2118
12071050106,1209,2574
12103027316,1209,1785
22103040304,1209,2567
42017101611,1209,2689
42101034501,1209,2311
04019004636,1208,2566
12057014010,1208,1348
12086005102,1208,2587
12115002725,1208,2830
24021750802,1208,2768
36061016900,1208,4369
12009071100,1207,1796
12099007011,1207,1473
17097865400,1207,2188
24031701425,1207,1759
42017104902,1207,3010
42055012501,1207,2662
06103000400,1206,2334
12087972700,1206,1932
38015011101,1206,2655
12031014424,1205,3471
25001014402,1205,2964
42097080800,1205,2944
42109070200,1205,2924
45051051406,1205,2089
48167721902,1205,2559
06075012502,1204,2270
18097380101,1204,2983
29189221202,1204,2716
44007010400,1204,3125
53067012225,1204,2324
06059075518,1203,3766
06103000600,1203,2264
47065011100,1203,2526
51103030200,1203,1894
12053040901,1202,2353
39063000600,1202,3263
04025001403,1201,1853
06013304001,1201,2154
06037460101,1201,2341
12057013916,1201,6124
12071010412,1201,2444
